Game,Baseline score,Variant score,Winner
797,181,207,variant
798,187,208,variant
799,185,217,variant
800,199,204,variant
801,237,152,baseline
802,260,187,baseline
803,233,208,baseline
804,198,210,variant
805,226,89,baseline
806,145,209,variant
807,146,206,variant
808,204,194,baseline
809,133,228,variant
810,216,213,baseline
811,208,162,baseline
812,195,202,variant
813,244,191,baseline
814,210,161,baseline
815,114,205,variant
816,162,207,variant
817,196,202,variant
818,91,215,variant
819,113,201,variant
820,232,115,baseline
821,182,221,variant
822,141,207,variant
823,207,211,variant
824,185,214,variant
825,184,206,variant
826,152,205,variant
827,220,203,baseline
828,110,221,variant
829,183,217,variant
830,222,168,baseline
831,177,219,variant
832,192,224,variant
833,80,207,variant
834,185,218,variant
835,159,228,variant
836,225,157,baseline
837,222,203,baseline
838,220,192,baseline
839,145,202,variant
840,158,203,variant
841,137,205,variant
842,198,206,variant
843,159,216,variant
844,204,129,baseline
845,82,203,variant
846,136,224,variant
847,171,206,variant
848,163,204,variant
849,156,216,variant
850,261,177,baseline
851,100,224,variant
852,46,215,variant
853,124,228,variant
854,166,216,variant
855,210,184,baseline
856,123,237,variant
857,207,82,baseline
858,192,216,variant
859,172,223,variant
860,135,211,variant
861,221,118,baseline
862,218,198,baseline
863,217,161,baseline
864,181,212,variant
865,214,98,baseline
866,130,203,variant
867,218,183,baseline
868,121,225,variant
869,201,146,baseline
870,205,195,baseline
871,223,190,baseline
872,224,173,baseline
873,84,226,variant
874,65,202,variant
875,111,222,variant
876,225,201,baseline
877,100,222,variant
878,204,179,baseline
879,106,219,variant
880,172,216,variant
881,183,206,variant
882,111,215,variant
883,143,214,variant
884,229,204,baseline
885,147,218,variant
886,214,193,baseline
887,207,94,baseline
888,202,212,variant
889,126,217,variant
890,211,184,baseline
891,214,169,baseline
892,127,217,variant
893,130,201,variant
894,208,224,variant
895,201,209,variant
896,201,209,variant
897,258,135,baseline
898,202,92,baseline
899,221,221,tie
900,221,93,baseline
901,174,207,variant
902,206,166,baseline
903,218,178,baseline
904,232,112,baseline
905,118,216,variant
906,154,212,variant
907,216,174,baseline
908,180,206,variant
909,208,87,baseline
910,216,141,baseline
911,98,209,variant
912,136,222,variant
913,193,204,variant
914,207,176,baseline
915,84,206,variant
916,165,231,variant
917,158,219,variant
918,220,174,baseline
919,224,223,baseline
920,111,214,variant
921,110,204,variant
922,217,193,baseline
923,211,193,baseline
924,77,209,variant
925,91,222,variant
926,235,161,baseline
927,144,222,variant
928,164,223,variant
929,174,224,variant
930,189,206,variant
931,170,212,variant
932,150,228,variant
933,201,224,variant
934,176,227,variant
935,243,165,baseline
936,110,208,variant
937,169,209,variant
938,221,201,baseline
939,133,225,variant
940,120,205,variant
941,189,220,variant
942,207,222,variant
943,201,164,baseline
944,81,231,variant
945,123,214,variant
946,204,87,baseline
947,174,209,variant
948,138,219,variant
949,200,194,baseline
950,202,167,baseline
951,226,161,baseline
952,233,188,baseline
953,216,221,variant
954,233,163,baseline
955,155,211,variant
956,152,200,variant
957,112,202,variant
958,216,89,baseline
959,225,214,baseline
960,222,220,baseline
961,109,210,variant
962,200,121,baseline
963,218,73,baseline
964,152,219,variant
965,181,228,variant
966,251,182,baseline
967,139,210,variant
968,206,221,variant
969,64,233,variant
970,176,221,variant
971,173,201,variant
972,205,154,baseline
973,201,140,baseline
974,218,152,baseline
975,148,225,variant
976,135,212,variant
977,196,205,variant
978,208,185,baseline
979,140,202,variant
980,210,194,baseline
981,62,210,variant
982,194,204,variant
983,226,193,baseline
984,234,204,baseline
985,206,137,baseline
986,100,217,variant
987,224,198,baseline
988,217,122,baseline
989,145,206,variant
990,120,214,variant
991,167,218,variant
992,211,164,baseline
993,108,214,variant
994,207,176,baseline
995,158,225,variant
996,137,223,variant
997,148,205,variant
998,110,204,variant
999,223,83,baseline
1000,139,216,variant

Baseline wins:,403,Variant wins:,592,Ties:,5
