Game,Baseline score,Variant score,Winner
651,190,219,variant
652,187,209,variant
653,216,175,baseline
654,195,208,variant
655,121,224,variant
656,156,206,variant
657,152,220,variant
658,89,203,variant
659,132,201,variant
660,52,203,variant
661,132,236,variant
662,151,213,variant
663,165,205,variant
664,163,221,variant
665,225,205,baseline
666,235,181,baseline
667,210,221,variant
668,120,220,variant
669,147,212,variant
670,201,230,variant
671,197,211,variant
672,179,214,variant
673,225,209,baseline
674,79,209,variant
675,100,202,variant
676,235,143,baseline
677,221,146,baseline
678,224,197,baseline
679,105,222,variant
680,211,216,variant
681,135,222,variant
682,225,230,variant
683,83,214,variant
684,85,229,variant
685,177,223,variant
686,219,188,baseline
687,195,224,variant
688,100,202,variant
689,234,219,baseline
690,242,113,baseline
691,173,204,variant
692,205,203,baseline
693,166,280,variant
694,222,157,baseline
695,179,203,variant
696,200,223,variant
697,101,205,variant
698,154,203,variant
699,148,231,variant
700,162,202,variant
701,113,200,variant
702,155,227,variant
703,226,173,baseline
704,229,190,baseline
705,223,152,baseline
706,207,140,baseline
707,87,202,variant
708,194,208,variant
709,91,215,variant
710,249,162,baseline
711,210,182,baseline
712,236,205,baseline
713,202,199,baseline
714,153,226,variant
715,207,161,baseline
716,170,203,variant
717,183,209,variant
718,229,125,baseline
719,116,214,variant
720,127,216,variant
721,178,205,variant
722,191,207,variant
723,149,218,variant
724,138,206,variant
725,184,209,variant
726,107,203,variant
727,126,214,variant
728,59,215,variant
729,202,198,baseline
730,171,206,variant
731,150,200,variant
732,195,238,variant
733,183,220,variant
734,157,234,variant
735,230,137,baseline
736,231,179,baseline
737,127,201,variant
738,113,200,variant
739,184,224,variant
740,123,229,variant
741,84,209,variant
742,124,207,variant
743,234,127,baseline
744,222,116,baseline
745,206,150,baseline
746,222,187,baseline
747,120,202,variant
748,196,216,variant
749,189,209,variant
750,98,217,variant
751,216,224,variant
752,121,232,variant
753,155,223,variant
754,16,217,variant
755,173,231,variant
756,204,186,baseline
757,187,203,variant
758,75,207,variant
759,167,228,variant
760,152,229,variant
761,169,207,variant
762,211,174,baseline
763,132,201,variant
764,125,206,variant
765,244,199,baseline
766,215,153,baseline
767,124,226,variant
768,157,207,variant
769,75,211,variant
770,191,238,variant
771,92,210,variant
772,108,214,variant
773,221,126,baseline
774,160,206,variant
775,81,217,variant
776,222,127,baseline
777,114,212,variant
778,164,217,variant
779,204,153,baseline
780,213,216,variant
781,205,202,baseline
782,194,208,variant
783,101,225,variant
784,114,209,variant
785,111,235,variant
786,219,213,baseline
787,196,222,variant
788,129,204,variant
789,180,216,variant
790,124,219,variant
791,179,225,variant
792,201,193,baseline
793,225,197,baseline
794,185,227,variant
795,182,211,variant
796,200,185,baseline
797,180,211,variant
798,211,151,baseline
799,227,92,baseline
800,226,181,baseline
801,133,202,variant
802,205,122,baseline
803,235,202,baseline
804,210,171,baseline
805,215,111,baseline
806,189,214,variant
807,136,209,variant
808,156,237,variant
809,125,211,variant
810,58,205,variant
811,120,204,variant
812,223,114,baseline
813,84,208,variant
814,185,215,variant
815,147,220,variant
816,201,147,baseline
817,200,124,baseline
818,168,221,variant
819,240,171,baseline
820,142,201,variant
821,70,212,variant
822,183,202,variant
823,126,205,variant
824,190,220,variant
825,223,149,baseline
826,218,205,baseline
827,132,203,variant
828,141,218,variant
829,256,223,baseline
830,189,217,variant
831,200,151,baseline
832,204,233,variant
833,142,204,variant
834,204,148,baseline
835,200,117,baseline
836,216,130,baseline
837,156,200,variant
838,164,234,variant
839,76,216,variant
840,112,212,variant
841,206,192,baseline
842,150,270,variant
843,220,191,baseline
844,154,204,variant
845,146,220,variant
846,191,222,variant
847,207,192,baseline
848,90,241,variant
849,146,211,variant
850,175,215,variant
851,203,135,baseline
852,224,177,baseline
853,140,209,variant
854,71,213,variant
855,190,208,variant
856,231,178,baseline
857,219,138,baseline
858,203,206,variant
859,214,199,baseline
860,173,226,variant
861,125,219,variant
862,236,103,baseline
863,125,215,variant
864,201,152,baseline
865,117,210,variant
866,198,219,variant
867,183,219,variant
868,152,207,variant
869,210,182,baseline
870,143,210,variant
871,162,229,variant
872,77,222,variant
873,181,222,variant
874,131,224,variant
875,144,219,variant
876,205,153,baseline
877,67,211,variant
878,163,220,variant
879,172,217,variant
880,133,219,variant
881,231,126,baseline
882,109,230,variant
883,219,162,baseline
884,151,201,variant
885,188,203,variant
886,103,200,variant
887,159,218,variant
888,214,155,baseline
889,88,213,variant
890,163,216,variant
891,207,137,baseline
892,209,149,baseline
893,200,117,baseline
894,215,179,baseline
895,176,220,variant
896,213,116,baseline
897,205,197,baseline
898,110,208,variant
899,210,147,baseline
900,74,205,variant
901,202,116,baseline
902,200,114,baseline
903,94,207,variant
904,180,222,variant
905,212,129,baseline
906,228,130,baseline
907,221,129,baseline
908,229,196,baseline
909,106,222,variant
910,174,219,variant
911,124,211,variant
912,207,183,baseline
913,141,211,variant
914,117,212,variant
915,212,143,baseline
916,148,214,variant
917,208,190,baseline
918,120,241,variant
919,168,208,variant
920,168,222,variant
921,204,234,variant
922,151,215,variant
923,109,246,variant
924,131,207,variant
925,175,221,variant
926,204,95,baseline
927,201,192,baseline
928,167,205,variant
929,122,225,variant
930,66,217,variant
931,232,185,baseline
932,167,242,variant
933,126,211,variant
934,207,189,baseline
935,200,245,variant
936,118,205,variant
937,157,225,variant
938,236,179,baseline
939,154,202,variant
940,169,200,variant
941,206,213,variant
942,52,203,variant
943,88,209,variant
944,212,189,baseline
945,200,174,baseline
946,216,169,baseline
947,99,204,variant
948,213,221,variant
949,114,205,variant
950,76,220,variant
951,118,215,variant
952,137,214,variant
953,148,239,variant
954,131,205,variant
955,208,204,baseline
956,109,204,variant
957,124,214,variant
958,234,193,baseline
959,143,217,variant
960,38,206,variant
961,234,89,baseline
962,165,201,variant
963,113,221,variant
964,93,209,variant
965,227,103,baseline
966,161,226,variant
967,132,201,variant
968,226,152,baseline
969,142,229,variant
970,214,101,baseline
971,214,138,baseline
972,213,184,baseline
973,245,199,baseline
974,200,104,baseline
975,175,235,variant
976,79,224,variant
977,191,220,variant
978,182,205,variant
979,112,243,variant
980,105,207,variant
981,208,157,baseline
982,223,205,baseline
983,230,218,baseline
984,214,153,baseline
985,135,265,variant
986,196,206,variant
987,107,205,variant
988,101,225,variant
989,188,200,variant
990,193,216,variant
991,167,223,variant
992,127,219,variant
993,210,126,baseline
994,185,209,variant
995,52,221,variant
996,110,219,variant
997,213,136,baseline
998,137,200,variant
999,157,248,variant
1000,76,223,variant

Baseline wins:,339,Variant wins:,661,Ties:,0
