Game,Baseline score,Variant score,Winner
606,151,205,variant
607,129,226,variant
608,154,209,variant
609,204,130,baseline
610,123,209,variant
611,212,134,baseline
612,171,207,variant
613,229,124,baseline
614,224,77,baseline
615,214,138,baseline
616,106,203,variant
617,215,172,baseline
618,251,181,baseline
619,145,206,variant
620,243,113,baseline
621,184,222,variant
622,203,162,baseline
623,241,175,baseline
624,233,191,baseline
625,227,193,baseline
626,227,235,variant
627,201,82,baseline
628,238,119,baseline
629,179,213,variant
630,208,150,baseline
631,229,151,baseline
632,202,110,baseline
633,249,223,baseline
634,31,218,variant
635,235,112,baseline
636,207,196,baseline
637,200,132,baseline
638,232,93,baseline
639,109,209,variant
640,216,156,baseline
641,213,171,baseline
642,187,221,variant
643,166,202,variant
644,216,211,baseline
645,104,206,variant
646,128,226,variant
647,205,109,baseline
648,241,151,baseline
649,166,233,variant
650,202,136,baseline
651,97,240,variant
652,224,115,baseline
653,217,138,baseline
654,115,202,variant
655,219,102,baseline
656,138,206,variant
657,208,156,baseline
658,235,153,baseline
659,165,219,variant
660,198,231,variant
661,206,153,baseline
662,179,231,variant
663,72,208,variant
664,225,132,baseline
665,104,209,variant
666,212,134,baseline
667,140,214,variant
668,203,105,baseline
669,200,159,baseline
670,202,123,baseline
671,108,225,variant
672,204,175,baseline
673,225,161,baseline
674,73,214,variant
675,209,164,baseline
676,127,212,variant
677,214,39,baseline
678,226,198,baseline
679,207,131,baseline
680,152,210,variant
681,52,200,variant
682,211,180,baseline
683,147,206,variant
684,212,194,baseline
685,200,182,baseline
686,122,201,variant
687,145,212,variant
688,115,225,variant
689,204,157,baseline
690,223,194,baseline
691,203,152,baseline
692,112,214,variant
693,211,212,variant
694,207,200,baseline
695,223,204,baseline
696,213,99,baseline
697,223,76,baseline
698,48,214,variant
699,48,205,variant
700,136,204,variant
701,119,219,variant
702,165,227,variant
703,182,222,variant
704,151,202,variant
705,220,144,baseline
706,197,221,variant
707,209,179,baseline
708,84,228,variant
709,160,202,variant
710,207,199,baseline
711,141,220,variant
712,207,227,variant
713,228,148,baseline
714,213,96,baseline
715,170,211,variant
716,139,211,variant
717,156,201,variant
718,221,160,baseline
719,162,208,variant
720,239,38,baseline
721,216,189,baseline
722,140,217,variant
723,142,201,variant
724,209,257,variant
725,172,226,variant
726,217,183,baseline
727,147,214,variant
728,200,166,baseline
729,155,222,variant
730,138,210,variant
731,236,177,baseline
732,183,233,variant
733,101,225,variant
734,203,119,baseline
735,157,201,variant
736,69,233,variant
737,236,170,baseline
738,219,208,baseline
739,216,17,baseline
740,210,203,baseline
741,101,222,variant
742,220,112,baseline
743,209,124,baseline
744,223,186,baseline
745,200,79,baseline
746,210,99,baseline
747,224,133,baseline
748,167,231,variant
749,219,152,baseline
750,235,113,baseline
751,172,224,variant
752,151,217,variant
753,202,176,baseline
754,176,210,variant
755,160,205,variant
756,221,164,baseline
757,232,108,baseline
758,181,210,variant
759,229,196,baseline
760,81,210,variant
761,193,237,variant
762,222,130,baseline
763,188,210,variant
764,228,166,baseline
765,200,129,baseline
766,169,218,variant
767,136,218,variant
768,80,200,variant
769,123,207,variant
770,94,214,variant
771,164,224,variant
772,128,212,variant
773,220,83,baseline
774,241,209,baseline
775,213,102,baseline
776,199,207,variant
777,230,171,baseline
778,93,205,variant
779,126,218,variant
780,209,117,baseline
781,179,225,variant
782,226,127,baseline
783,202,154,baseline
784,146,224,variant
785,214,169,baseline
786,194,219,variant
787,202,94,baseline
788,215,124,baseline
789,210,139,baseline
790,62,219,variant
791,209,97,baseline
792,78,201,variant
793,22,202,variant
794,222,156,baseline
795,120,223,variant
796,218,133,baseline
797,201,190,baseline
798,219,193,baseline
799,215,96,baseline
800,215,233,variant
801,205,101,baseline
802,214,153,baseline
803,212,147,baseline
804,202,70,baseline
805,183,236,variant
806,209,182,baseline
807,186,204,variant
808,121,212,variant
809,226,109,baseline
810,215,210,baseline
811,125,216,variant
812,191,200,variant
813,111,205,variant
814,216,143,baseline
815,217,111,baseline
816,229,223,baseline
817,222,230,variant
818,70,201,variant
819,256,94,baseline
820,213,196,baseline
821,221,183,baseline
822,212,86,baseline
823,223,181,baseline
824,230,139,baseline
825,231,181,baseline
826,236,214,baseline
827,216,154,baseline
828,65,212,variant
829,216,109,baseline
830,205,141,baseline
831,144,262,variant
832,148,202,variant
833,133,212,variant
834,122,208,variant
835,220,120,baseline
836,89,213,variant
837,179,215,variant
838,217,187,baseline
839,187,206,variant
840,201,167,baseline
841,198,201,variant
842,231,182,baseline
843,129,202,variant
844,107,223,variant
845,75,231,variant
846,199,216,variant
847,221,158,baseline
848,225,170,baseline
849,191,219,variant
850,197,209,variant
851,160,228,variant
852,186,206,variant
853,211,178,baseline
854,118,236,variant
855,93,224,variant
856,231,218,baseline
857,184,217,variant
858,177,218,variant
859,198,203,variant
860,162,217,variant
861,224,142,baseline
862,213,210,baseline
863,202,116,baseline
864,158,224,variant
865,207,97,baseline
866,204,145,baseline
867,172,218,variant
868,229,149,baseline
869,214,162,baseline
870,219,234,variant
871,240,101,baseline
872,168,214,variant
873,214,187,baseline
874,174,200,variant
875,130,213,variant
876,216,71,baseline
877,201,116,baseline
878,234,217,baseline
879,202,114,baseline
880,217,97,baseline
881,245,166,baseline
882,204,97,baseline
883,84,209,variant
884,224,98,baseline
885,224,217,baseline
886,224,184,baseline
887,246,206,baseline
888,176,208,variant
889,240,71,baseline
890,236,72,baseline
891,185,222,variant
892,142,216,variant
893,237,112,baseline
