Game,Baseline score,Variant score,Winner
635,104,228,variant
636,208,97,baseline
637,166,221,variant
638,151,229,variant
639,224,141,baseline
640,104,249,variant
641,196,207,variant
642,226,126,baseline
643,198,231,variant
644,223,109,baseline
645,186,216,variant
646,138,226,variant
647,227,75,baseline
648,197,212,variant
649,204,127,baseline
650,196,206,variant
651,212,206,baseline
652,205,90,baseline
653,225,126,baseline
654,115,200,variant
655,46,257,variant
656,142,239,variant
657,234,206,baseline
658,221,85,baseline
659,205,89,baseline
660,181,217,variant
661,225,177,baseline
662,238,99,baseline
663,220,124,baseline
664,166,229,variant
665,181,205,variant
666,205,142,baseline
667,128,225,variant
668,201,142,baseline
669,193,201,variant
670,217,83,baseline
671,234,219,baseline
672,227,145,baseline
673,190,201,variant
674,202,60,baseline
675,196,208,variant
676,223,107,baseline
677,57,236,variant
678,199,208,variant
679,162,235,variant
680,227,116,baseline
681,209,162,baseline
682,198,228,variant
683,226,196,baseline
684,119,219,variant
685,233,157,baseline
686,218,158,baseline
687,207,188,baseline
688,216,194,baseline
689,115,231,variant
690,172,234,variant
691,132,214,variant
692,230,142,baseline
693,225,179,baseline
694,196,218,variant
695,233,78,baseline
696,210,80,baseline
697,211,164,baseline
698,236,184,baseline
699,123,216,variant
700,190,225,variant
701,201,135,baseline
702,149,221,variant
703,165,225,variant
704,236,56,baseline
705,100,206,variant
706,46,224,variant
707,209,83,baseline
708,227,132,baseline
709,196,213,variant
710,225,197,baseline
711,71,217,variant
712,209,167,baseline
713,166,204,variant
714,180,216,variant
715,211,103,baseline
716,242,82,baseline
717,190,210,variant
718,216,158,baseline
719,203,148,baseline
720,243,130,baseline
721,160,201,variant
722,225,128,baseline
723,207,138,baseline
724,221,75,baseline
725,218,34,baseline
726,123,205,variant
727,242,83,baseline
728,204,125,baseline
729,208,74,baseline
730,94,206,variant
731,212,227,variant
732,203,92,baseline
733,158,207,variant
734,178,226,variant
735,213,61,baseline
736,207,79,baseline
737,227,225,baseline
738,173,229,variant
739,88,211,variant
740,207,202,baseline
741,98,215,variant
742,213,165,baseline
743,34,202,variant
744,166,218,variant
745,208,206,baseline
746,197,213,variant
747,188,219,variant
748,214,82,baseline
749,225,143,baseline
750,245,182,baseline
751,211,187,baseline
752,64,203,variant
753,204,230,variant
754,99,203,variant
755,193,207,variant
756,76,206,variant
757,83,231,variant
758,238,219,baseline
759,206,68,baseline
760,173,223,variant
761,217,198,baseline
762,237,103,baseline
763,147,208,variant
764,210,164,baseline
765,222,212,baseline
766,208,200,baseline
767,97,250,variant
768,135,216,variant
769,135,205,variant
770,203,116,baseline
771,214,202,baseline
772,198,267,variant
773,81,211,variant
774,218,212,baseline
775,214,85,baseline
776,223,150,baseline
777,89,213,variant
778,241,157,baseline
779,208,185,baseline
780,230,21,baseline
781,77,207,variant
782,206,97,baseline
783,149,204,variant
784,222,132,baseline
785,104,211,variant
786,159,207,variant
787,188,231,variant
788,201,109,baseline
789,131,210,variant
790,143,208,variant
791,123,227,variant
792,222,167,baseline
793,226,120,baseline
794,225,149,baseline
795,235,195,baseline
796,156,208,variant
797,218,161,baseline
798,225,169,baseline
799,231,200,baseline
800,234,186,baseline
801,233,173,baseline
802,275,170,baseline
803,201,163,baseline
804,197,211,variant
805,159,220,variant
806,138,200,variant
807,195,224,variant
808,216,126,baseline
809,204,173,baseline
810,146,234,variant
811,213,153,baseline
812,204,201,baseline
813,202,225,variant
814,178,206,variant
815,161,213,variant
816,204,226,variant
817,209,121,baseline
818,217,68,baseline
819,221,91,baseline
820,220,196,baseline
821,221,150,baseline
822,218,131,baseline
823,22,205,variant
824,213,100,baseline
825,213,183,baseline
826,204,169,baseline
827,173,212,variant
828,208,138,baseline
829,234,199,baseline
830,211,167,baseline
831,135,230,variant
832,215,222,variant
833,203,220,variant
834,64,204,variant
835,178,206,variant
836,167,205,variant
837,206,193,baseline
838,213,157,baseline
839,215,111,baseline
840,273,124,baseline
841,205,102,baseline
842,201,175,baseline
843,183,200,variant
844,209,235,variant
845,196,212,variant
846,115,218,variant
847,232,186,baseline
848,200,83,baseline
849,219,29,baseline
850,155,207,variant
851,105,203,variant
852,178,208,variant
853,217,185,baseline
854,213,143,baseline
855,223,184,baseline
856,206,144,baseline
857,200,38,baseline
858,152,209,variant
859,123,213,variant
860,125,224,variant
861,204,162,baseline
862,231,161,baseline
863,207,143,baseline
864,145,219,variant
865,204,55,baseline
866,108,238,variant
867,180,230,variant
868,199,243,variant
869,198,200,variant
870,208,103,baseline
871,213,216,variant
872,177,222,variant
873,223,133,baseline
874,168,232,variant
875,172,224,variant
876,121,209,variant
877,170,221,variant
878,207,138,baseline
879,178,222,variant
880,166,206,variant
881,237,101,baseline
882,215,139,baseline
883,176,238,variant
884,222,155,baseline
885,77,212,variant
886,203,138,baseline
887,188,210,variant
888,186,200,variant
889,212,209,baseline
890,175,209,variant
891,228,192,baseline
892,185,209,variant
893,228,141,baseline
894,223,189,baseline
895,86,219,variant
896,139,202,variant
897,149,215,variant
898,151,216,variant
899,173,200,variant
900,202,196,baseline
901,153,200,variant
902,224,130,baseline
903,201,83,baseline
904,179,234,variant
905,226,196,baseline
906,121,225,variant
907,224,183,baseline
908,191,229,variant
909,162,215,variant
910,173,203,variant
911,217,227,variant
912,223,205,baseline
913,221,116,baseline
914,152,213,variant
915,209,85,baseline
916,209,80,baseline
917,203,167,baseline
918,81,209,variant
919,161,205,variant
920,219,214,baseline
921,205,193,baseline
922,217,170,baseline
923,204,159,baseline
924,219,186,baseline
925,103,221,variant
926,39,237,variant
927,144,223,variant
928,109,212,variant
929,186,234,variant
930,231,95,baseline
931,121,223,variant
932,208,169,baseline
933,141,215,variant
934,196,223,variant
935,217,171,baseline
936,234,144,baseline
937,235,210,baseline
938,195,222,variant
939,239,119,baseline
940,239,211,baseline
941,201,172,baseline
942,110,232,variant
943,99,207,variant
944,213,166,baseline
945,100,217,variant
946,141,206,variant
947,128,217,variant
948,102,240,variant
949,202,158,baseline
950,232,170,baseline
951,135,217,variant
952,178,219,variant
953,210,176,baseline
954,168,217,variant
955,215,179,baseline
956,214,91,baseline
957,233,151,baseline
958,134,203,variant
959,219,66,baseline
960,229,149,baseline
961,208,95,baseline
962,205,137,baseline
963,138,263,variant
964,238,176,baseline
965,136,232,variant
966,239,156,baseline
967,157,209,variant
968,217,132,baseline
969,130,221,variant
970,223,138,baseline
971,194,221,variant
972,155,208,variant
973,233,79,baseline
974,216,96,baseline
975,0,217,variant
976,231,109,baseline
977,214,119,baseline
978,217,150,baseline
